name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,host_is_superhost,property_type,room_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Back Bay Gem on Commonwealth Avenue,15,9,3,31235595,Brooks,2347,within a day,100,0,Apartment,Entire home/apt,425,500,90,7,1125
The Best Location In Boston,24,9,3,18142992,Jesse,2620,within an hour,100,0,Townhouse,Entire home/apt,199,100,29,1,1125
Back Bay Gem 1,46,10,3,47618394,Liesl,2150,within an hour,100,0,Apartment,Entire home/apt,145,200,60,2,1125
Back Bay Apt - Close and Convenient to Everywhere,11,9,1,6032648,Madison,3070,within an hour,80,0,Apartment,Entire home/apt,200,95,20,2,1125
Classic Back Bay 3 Bed/1 Ba Flat,21,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,568,500,125,2,1125
Lofty 2BD w/ Lg Private Roof Deck,10,10,3,8790904,Albert,2926,within an hour,100,0,Apartment,Entire home/apt,250,300,75,2,30
Stunning Back Bay Studio Apartment,1,10,3,39051883,Gretchen,2250,within a few hours,100,0,Apartment,Entire home/apt,189,500,150,13,365
Back Bay 1  Bedroom - Charles River,19,9,1,32540732,Nancy,2328,within an hour,100,0,Apartment,Entire home/apt,200,200,100,1,1125
Everybody's favorite! BACK BAY FENW,26,8,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,207,99,50,1,1125
Perfect Back Bay 1BR; Walk the City,33,10,1,22726574,Nathan,2524,within a few hours,100,0,Apartment,Entire home/apt,259,200,50,2,1125
Adorable 2BR in heart of Boston,33,9,2,17010369,B.J,2646,within a few hours,100,0,Apartment,Entire home/apt,300,150,75,2,4
Private Room in Back Bay Brownstone,35,10,2,9969381,Brady,2865,within an hour,100,0,Apartment,Private room,140,200,50,2,5
A Home In The Heart Of It All,9,9,1,70633440,Nicholas,1959,within an hour,100,0,Apartment,Entire home/apt,176,500,75,4,14
Small Studio in Back Bay - 1st Flr,40,8,1,13765922,Michael,2725,within a day,100,0,Apartment,Entire home/apt,200,100,50,1,30
Large Private Room in Heart of Back Bay 1,3,10,3,91548283,Anthony,1850,within an hour,100,0,Condominium,Private room,130,199,42,3,1125
"Stay on Newbury St, Steps to ALL!",19,9,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,200,99,60,1,1125
Gorgeous Brand New Spacious Studio,4,10,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,130,1000,150,60,365
Brand New One Bedroom in Back Bay,19,10,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,200,450,80,3,45
Large Private Room in Heart of Back Bay 2,4,10,3,91548283,Anthony,1850,within an hour,100,0,Condominium,Private room,130,199,42,3,1125
BEAUTIFUL BOSTON BROWNSTONE,6,10,2,21609039,Susan,2552,within an hour,100,0,Condominium,Entire home/apt,450,500,80,2,90
Totally Amazing XL Studio w Skyline,1,10,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,130,1250,150,2,365
